well,depth_md,twt_ms,v_avg_ms
BARTON-2,0.0,1.37,0.0
BARTON-2,272.73,238.17,2290.2
BARTON-2,545.45,477.19,2286.1
BARTON-2,818.18,715.21,2288.0
BARTON-2,1090.91,952.49,2290.6
BARTON-2,1363.64,1191.77,2288.4
BARTON-2,1636.36,1429.81,2288.9
BARTON-2,1909.09,1668.69,2288.1
BARTON-2,2181.82,1906.32,2289.0
BARTON-2,2454.55,2141.54,2292.3
BARTON-2,2727.27,2380.48,2291.4
BARTON-2,3000.0,2622.94,2287.5
ROTAN-1,0.0,1.37,0.0
ROTAN-1,290.91,253.96,2291.0
ROTAN-1,581.82,512.23,2271.7
ROTAN-1,872.73,768.88,2270.1
ROTAN-1,1163.64,1023.29,2274.3
ROTAN-1,1454.55,1276.14,2279.6
ROTAN-1,1745.45,1531.37,2279.6
ROTAN-1,2036.36,1791.6,2273.2
ROTAN-1,2327.27,2043.1,2278.2
ROTAN-1,2618.18,2301.49,2275.2
ROTAN-1,2909.09,2550.66,2281.1
ROTAN-1,3200.0,2809.9,2277.7
BUNGA LILI-1,0.0,-1.97,
BUNGA LILI-1,318.18,276.06,2305.2
BUNGA LILI-1,636.36,555.1,2292.8
BUNGA LILI-1,954.55,834.42,2287.9
BUNGA LILI-1,1272.73,1108.57,2296.2
BUNGA LILI-1,1590.91,1387.46,2293.3
BUNGA LILI-1,1909.09,1662.91,2296.1
BUNGA LILI-1,2227.27,1939.94,2296.2
BUNGA LILI-1,2545.45,2217.74,2295.5
BUNGA LILI-1,2863.64,2499.19,2291.7
BUNGA LILI-1,3181.82,2775.75,2292.6
BUNGA LILI-1,3500.0,3046.01,2298.1
BULUH-1,0.0,0.89,0.0
BULUH-1,254.55,224.36,2269.0
BULUH-1,509.09,450.39,2260.6
BULUH-1,763.64,676.73,2256.9
BULUH-1,1018.18,902.23,2257.0
BULUH-1,1272.73,1129.02,2254.6
BULUH-1,1527.27,1355.16,2254.0
BULUH-1,1781.82,1580.18,2255.2
BULUH-1,2036.36,1805.86,2255.3
BULUH-1,2290.91,2025.57,2262.0
BULUH-1,2545.45,2254.49,2258.1
BULUH-1,2800.0,2480.62,2257.5
MALIGAN-1,0.0,-0.77,
MALIGAN-1,263.64,231.57,2277.0
MALIGAN-1,527.27,462.18,2281.7
MALIGAN-1,790.91,693.11,2282.2
MALIGAN-1,1054.55,922.69,2285.8
MALIGAN-1,1318.18,1156.0,2280.6
MALIGAN-1,1581.82,1386.38,2281.9
MALIGAN-1,1845.45,1615.15,2285.2
MALIGAN-1,2109.09,1846.64,2284.3
MALIGAN-1,2372.73,2079.61,2281.9
MALIGAN-1,2636.36,2308.24,2284.3
MALIGAN-1,2900.0,2536.94,2286.2
PEKAKA-1,0.0,0.85,0.0
PEKAKA-1,281.82,242.49,2324.4
PEKAKA-1,563.64,491.79,2292.2
PEKAKA-1,845.45,739.4,2286.9
PEKAKA-1,1127.27,983.19,2293.1
PEKAKA-1,1409.09,1226.71,2297.3
PEKAKA-1,1690.91,1469.56,2301.2
PEKAKA-1,1972.73,1717.45,2297.3
PEKAKA-1,2254.55,1964.69,2295.1
PEKAKA-1,2536.36,2210.36,2295.0
PEKAKA-1,2818.18,2453.74,2297.0
PEKAKA-1,3100.0,2701.44,2295.1
SUGUT,0.0,-7.1,
SUGUT,245.45,214.44,2289.2
SUGUT,490.91,425.74,2306.1
SUGUT,736.36,642.65,2291.7
SUGUT,981.82,859.91,2283.5
SUGUT,1227.27,1074.54,2284.3
SUGUT,1472.73,1295.56,2273.5
SUGUT,1718.18,1506.24,2281.4
SUGUT,1963.64,1725.2,2276.4
SUGUT,2209.09,1941.09,2276.1
SUGUT,2454.55,2153.35,2279.8
SUGUT,2700.0,2368.68,2279.7
SOLISIP-1,0.0,-0.38,
SOLISIP-1,300.0,262.74,2283.6
SOLISIP-1,600.0,525.13,2285.2
SOLISIP-1,900.0,793.82,2267.5
SOLISIP-1,1200.0,1050.21,2285.3
SOLISIP-1,1500.0,1314.8,2281.7
SOLISIP-1,1800.0,1584.44,2272.1
SOLISIP-1,2100.0,1845.26,2276.1
SOLISIP-1,2400.0,2109.12,2275.8
SOLISIP-1,2700.0,2371.55,2277.0
SOLISIP-1,3000.0,2636.45,2275.8
SOLISIP-1,3300.0,2901.93,2274.3
